Cleanup.ID,Zone,State,Country,Latitude,Longitude,Cleanup.Date,Group.Name,Adults,Children,People,Kilograms,Kilometers,N.bags,Cigarette.Butts,Food.Wrappers.candy.chips.etc.,Take.Out.Away.Containers.Plastic.,Take.Out.Away.Containers.Foam.,Bottle.Caps.Plastic.,Bottle.Caps.Metal.,Lids.Plastic.,Straws.Stirrers,Forks.Knives.Spoons,Beverage.Bottles.Plastic.,Beverage.Bottles.Glass.,Beverage.Cans,Grocery.Bags.Plastic.,Other.Plastic.Bags,Paper.Bags,Cups.Plates.Paper.,Cups.Plates.Plastic.,Cups.Plates.Foam.,Fishing.Buoys.Pots.Traps,Fishing.Net.Pieces,Fishing.Line.1.yard.meter.1.piece.,Rope.1.yard.meter.1.piece.,Fishing.Gear.Clean.Swell.,X6.Pack.Holders,Other.Plastic.Foam.Packaging,Other.Plastic.Bottles.oil.bleach.etc.,Strapping.Bands,Tobacco.Packaging.Wrap,Other.Packaging.Clean.Swell.,Beverages.Sachets,Appliances.refrigerators.washers.etc.,Balloons,Cigar.Tips,Cigarette.Lighters,Construction.Materials,Fireworks,Tires,Toys,Other.Trash.Clean.Swell.,E.cigarettes,Other.tobacco.packaging.lighter.etc.,Condoms,Diapers,Syringes,Tampons.Tampon.Applicators,Personal.Hygiene.Clean.Swell.,Gloves.Masks.PPE.,Foam.Pieces,Glass.Pieces,Plastic.Pieces,Total.Items.Collected,NewPlasticTotal,TotalFishing,totaltakeout,TotalSmoke,PlasticBags,year,month,day,DATE,distanceM,StdEffort,stdzdTotalPlastic,stdzdfish,stdzdtakeout,stdzdsmoke,stdzdbags
21624,"San Diego County, CA, USA","California, USA",United States,32.71906,-117.14096,9/15/17,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2017,9,15,9/15/17,1,1,1,0,0,1,0
22432,"San Diego County, CA, USA","California, USA",United States,32.72089,-117.1397,9/16/17,I Love a Clean San Diego,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2017,9,16,9/16/17,1,1,1,0,0,0,0
23330,"San Diego County, CA, USA","California, USA",United States,32.75325,-117.25101,9/16/17,Coastal Cleanup ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,9,16,9/16/17,1,1,0,0,0,0,0
35152,"San Diego County, CA, USA","California, USA",United States,32.77926,-117.2111,3/10/18,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2018,3,10,3/10/18,1,1,1,0,0,1,0
38334,"San Diego County, CA, USA","California, USA",United States,32.78113,-117.16305,6/5/18,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,6,5,6/5/18,1,1,0,0,0,0,0
38335,"San Diego County, CA, USA","California, USA",United States,32.78113,-117.16305,6/5/18,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,6,5,6/5/18,1,1,0,0,0,0,0
44078,"San Diego County, CA, USA","California, USA",United States,32.80173,-117.22278,9/15/18,Rose Creek,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2018,9,15,9/15/18,1,1,1,0,0,1,0
44081,"San Diego County, CA, USA","California, USA",United States,32.80173,-117.22278,9/15/18,Rose Creek,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2018,9,15,9/15/18,1,1,1,0,0,1,0
44514,"San Diego County, CA, USA","California, USA",United States,32.74985,-117.17739,9/15/18,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,9,15,9/15/18,1,1,0,0,0,0,0
47836,"San Diego County, CA, USA","California, USA",United States,32.75412,-117.25156,9/15/18,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,9,15,9/15/18,1,1,0,0,0,0,0
