ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2018,"2018",0,"Total",138864,23130,"Census Tract 1, San Diego County, CA","14000US06073000100"
2018,"2018",0,"Total",90673,16047,"Census Tract 2.01, San Diego County, CA","14000US06073000201"
2018,"2018",0,"Total",66438,16267.999999999998,"Census Tract 2.02, San Diego County, CA","14000US06073000202"
2018,"2018",0,"Total",69028,12112,"Census Tract 3, San Diego County, CA","14000US06073000300"
2018,"2018",0,"Total",75559,8855,"Census Tract 4, San Diego County, CA","14000US06073000400"
2018,"2018",0,"Total",71300,9911,"Census Tract 5, San Diego County, CA","14000US06073000500"
2018,"2018",0,"Total",65089,9778,"Census Tract 6, San Diego County, CA","14000US06073000600"
2018,"2018",0,"Total",79531,9627,"Census Tract 7, San Diego County, CA","14000US06073000700"
2018,"2018",0,"Total",70224,5478,"Census Tract 8, San Diego County, CA","14000US06073000800"
2018,"2018",0,"Total",60654,11966,"Census Tract 9, San Diego County, CA","14000US06073000900"
2018,"2018",0,"Total",71532,8791,"Census Tract 10, San Diego County, CA","14000US06073001000"
2018,"2018",0,"Total",75066,8026,"Census Tract 11, San Diego County, CA","14000US06073001100"
2018,"2018",0,"Total",48945,8700,"Census Tract 12, San Diego County, CA","14000US06073001200"
2018,"2018",0,"Total",63793,4638,"Census Tract 13, San Diego County, CA","14000US06073001300"
2018,"2018",0,"Total",80893,15364,"Census Tract 14, San Diego County, CA","14000US06073001400"
2018,"2018",0,"Total",76887,11151,"Census Tract 15, San Diego County, CA","14000US06073001500"
2018,"2018",0,"Total",43687,9805,"Census Tract 16, San Diego County, CA","14000US06073001600"
2018,"2018",0,"Total",50045,9112,"Census Tract 17, San Diego County, CA","14000US06073001700"
2018,"2018",0,"Total",51104,8683,"Census Tract 18, San Diego County, CA","14000US06073001800"
2018,"2018",0,"Total",97015,16812,"Census Tract 19, San Diego County, CA","14000US06073001900"
2018,"2018",0,"Total",142404,23950,"Census Tract 20.01, San Diego County, CA","14000US06073002001"
2018,"2018",0,"Total",114904,28807.999999999996,"Census Tract 20.02, San Diego County, CA","14000US06073002002"
2018,"2018",0,"Total",60080,6852,"Census Tract 21, San Diego County, CA","14000US06073002100"
2018,"2018",0,"Total",26643,7769,"Census Tract 22.01, San Diego County, CA","14000US06073002201"
2018,"2018",0,"Total",29709,3861,"Census Tract 22.02, San Diego County, CA","14000US06073002202"
2018,"2018",0,"Total",40000,9515,"Census Tract 23.01, San Diego County, CA","14000US06073002301"
2018,"2018",0,"Total",30867,4260,"Census Tract 23.02, San Diego County, CA","14000US06073002302"
2018,"2018",0,"Total",47500,7612,"Census Tract 24.01, San Diego County, CA","14000US06073002401"
2018,"2018",0,"Total",31855,3476,"Census Tract 24.02, San Diego County, CA","14000US06073002402"
2018,"2018",0,"Total",42384,8406,"Census Tract 25.01, San Diego County, CA","14000US06073002501"
2018,"2018",0,"Total",55901,10180,"Census Tract 25.02, San Diego County, CA","14000US06073002502"
2018,"2018",0,"Total",29731,4540,"Census Tract 26.01, San Diego County, CA","14000US06073002601"
2018,"2018",0,"Total",51250,8247,"Census Tract 26.02, San Diego County, CA","14000US06073002602"
2018,"2018",0,"Total",60402,7341.000000000001,"Census Tract 27.02, San Diego County, CA","14000US06073002702"
2018,"2018",0,"Total",54970,7640.000000000001,"Census Tract 27.03, San Diego County, CA","14000US06073002703"
2018,"2018",0,"Total",67648,12054,"Census Tract 27.05, San Diego County, CA","14000US06073002705"
2018,"2018",0,"Total",33929,5470,"Census Tract 27.07, San Diego County, CA","14000US06073002707"
2018,"2018",0,"Total",27485,4358,"Census Tract 27.08, San Diego County, CA","14000US06073002708"
2018,"2018",0,"Total",31047,6546,"Census Tract 27.09, San Diego County, CA","14000US06073002709"
2018,"2018",0,"Total",43925,10781,"Census Tract 27.10, San Diego County, CA","14000US06073002710"
2018,"2018",0,"Total",56477,6108,"Census Tract 27.11, San Diego County, CA","14000US06073002711"
2018,"2018",0,"Total",40408,14541,"Census Tract 27.12, San Diego County, CA","14000US06073002712"
2018,"2018",0,"Total",40030,6108,"Census Tract 28.01, San Diego County, CA","14000US06073002801"
2018,"2018",0,"Total",50688,10205,"Census Tract 28.03, San Diego County, CA","14000US06073002803"
2018,"2018",0,"Total",74813,11076,"Census Tract 28.04, San Diego County, CA","14000US06073002804"
2018,"2018",0,"Total",52604,6116,"Census Tract 29.02, San Diego County, CA","14000US06073002902"
2018,"2018",0,"Total",65000,7819.999999999999,"Census Tract 29.03, San Diego County, CA","14000US06073002903"
2018,"2018",0,"Total",35085,7130,"Census Tract 29.04, San Diego County, CA","14000US06073002904"
2018,"2018",0,"Total",44008,4246,"Census Tract 29.05, San Diego County, CA","14000US06073002905"
2018,"2018",0,"Total",76065,24987,"Census Tract 30.01, San Diego County, CA","14000US06073003001"
2018,"2018",0,"Total",66983,6764,"Census Tract 30.03, San Diego County, CA","14000US06073003003"
2018,"2018",0,"Total",48085,5446,"Census Tract 30.04, San Diego County, CA","14000US06073003004"
2018,"2018",0,"Total",53594,7135,"Census Tract 31.01, San Diego County, CA","14000US06073003101"
2018,"2018",0,"Total",61961,6400,"Census Tract 31.03, San Diego County, CA","14000US06073003103"
2018,"2018",0,"Total",70175,9810,"Census Tract 31.05, San Diego County, CA","14000US06073003105"
2018,"2018",0,"Total",72361,13014,"Census Tract 31.07, San Diego County, CA","14000US06073003107"
2018,"2018",0,"Total",73750,11388,"Census Tract 31.08, San Diego County, CA","14000US06073003108"
2018,"2018",0,"Total",88601,6758.000000000001,"Census Tract 31.09, San Diego County, CA","14000US06073003109"
2018,"2018",0,"Total",42632,8714,"Census Tract 31.11, San Diego County, CA","14000US06073003111"
2018,"2018",0,"Total",70372,11653,"Census Tract 31.12, San Diego County, CA","14000US06073003112"
2018,"2018",0,"Total",74962,19004,"Census Tract 31.13, San Diego County, CA","14000US06073003113"
2018,"2018",0,"Total",104375,15616,"Census Tract 31.14, San Diego County, CA","14000US06073003114"
2018,"2018",0,"Total",60673,12389,"Census Tract 31.15, San Diego County, CA","14000US06073003115"
2018,"2018",0,"Total",56346,7757.999999999999,"Census Tract 32.01, San Diego County, CA","14000US06073003201"
2018,"2018",0,"Total",51912,18266,"Census Tract 32.02, San Diego County, CA","14000US06073003202"
2018,"2018",0,"Total",73350,19773,"Census Tract 32.04, San Diego County, CA","14000US06073003204"
2018,"2018",0,"Total",85513,15375.000000000002,"Census Tract 32.07, San Diego County, CA","14000US06073003207"
2018,"2018",0,"Total",49085,8226,"Census Tract 32.08, San Diego County, CA","14000US06073003208"
2018,"2018",0,"Total",63182,8535,"Census Tract 32.09, San Diego County, CA","14000US06073003209"
2018,"2018",0,"Total",70524,7292,"Census Tract 32.11, San Diego County, CA","14000US06073003211"
2018,"2018",0,"Total",93105,16349,"Census Tract 32.12, San Diego County, CA","14000US06073003212"
2018,"2018",0,"Total",108043,12775,"Census Tract 32.13, San Diego County, CA","14000US06073003213"
2018,"2018",0,"Total",66500,7136.999999999999,"Census Tract 32.14, San Diego County, CA","14000US06073003214"
2018,"2018",0,"Total",47043,7028,"Census Tract 33.01, San Diego County, CA","14000US06073003301"
2018,"2018",0,"Total",32784,8664,"Census Tract 33.03, San Diego County, CA","14000US06073003303"
2018,"2018",0,"Total",38611,3727,"Census Tract 33.04, San Diego County, CA","14000US06073003304"
2018,"2018",0,"Total",25469,5060,"Census Tract 33.05, San Diego County, CA","14000US06073003305"
2018,"2018",0,"Total",61907,9148,"Census Tract 34.01, San Diego County, CA","14000US06073003401"
2018,"2018",0,"Total",42652,8212,"Census Tract 34.03, San Diego County, CA","14000US06073003403"
2018,"2018",0,"Total",37348,14528.999999999998,"Census Tract 34.04, San Diego County, CA","14000US06073003404"
2018,"2018",0,"Total",40109,13218,"Census Tract 35.01, San Diego County, CA","14000US06073003501"
2018,"2018",0,"Total",33750,5992,"Census Tract 35.02, San Diego County, CA","14000US06073003502"
2018,"2018",0,"Total",37143,4245,"Census Tract 36.01, San Diego County, CA","14000US06073003601"
2018,"2018",0,"Total",53438,7089,"Census Tract 36.02, San Diego County, CA","14000US06073003602"
2018,"2018",0,"Total",45402,9302,"Census Tract 36.03, San Diego County, CA","14000US06073003603"
2018,"2018",0,"Total",34632,5708,"Census Tract 39.01, San Diego County, CA","14000US06073003901"
2018,"2018",0,"Total",36875,5407,"Census Tract 39.02, San Diego County, CA","14000US06073003902"
2018,"2018",0,"Total",36168,4939,"Census Tract 40, San Diego County, CA","14000US06073004000"
2018,"2018",0,"Total",48695,9323,"Census Tract 41, San Diego County, CA","14000US06073004100"
2018,"2018",0,"Total",114321,14562.000000000002,"Census Tract 42, San Diego County, CA","14000US06073004200"
2018,"2018",0,"Total",72656,15854.000000000002,"Census Tract 43, San Diego County, CA","14000US06073004300"
2018,"2018",0,"Total",76441,8716,"Census Tract 44, San Diego County, CA","14000US06073004400"
2018,"2018",0,"Total",44000,14033,"Census Tract 45.01, San Diego County, CA","14000US06073004501"
2018,"2018",0,"Total",57457,5277,"Census Tract 46, San Diego County, CA","14000US06073004600"
2018,"2018",0,"Total",31250,6159,"Census Tract 47, San Diego County, CA","14000US06073004700"
2018,"2018",0,"Total",32559,5009,"Census Tract 48, San Diego County, CA","14000US06073004800"
2018,"2018",0,"Total",36280,4432,"Census Tract 49, San Diego County, CA","14000US06073004900"
2018,"2018",0,"Total",27887,9219,"Census Tract 50, San Diego County, CA","14000US06073005000"
2018,"2018",0,"Total",45329,20922,"Census Tract 51, San Diego County, CA","14000US06073005100"
2018,"2018",0,"Total",52080,8435,"Census Tract 52, San Diego County, CA","14000US06073005200"
2018,"2018",0,"Total",54879,15412,"Census Tract 53, San Diego County, CA","14000US06073005300"
2018,"2018",0,"Total",90000,14351,"Census Tract 54, San Diego County, CA","14000US06073005400"
2018,"2018",0,"Total",69670,22917,"Census Tract 56, San Diego County, CA","14000US06073005600"
2018,"2018",0,"Total",38750,12617,"Census Tract 57, San Diego County, CA","14000US06073005700"
2018,"2018",0,"Total",104696,9980,"Census Tract 58, San Diego County, CA","14000US06073005800"
2018,"2018",0,"Total",69803,8436,"Census Tract 59, San Diego County, CA","14000US06073005900"
2018,"2018",0,"Total",108972,23512,"Census Tract 60, San Diego County, CA","14000US06073006000"
2018,"2018",0,"Total",95536,16083.000000000002,"Census Tract 61, San Diego County, CA","14000US06073006100"
2018,"2018",0,"Total",57250,13919.999999999998,"Census Tract 65, San Diego County, CA","14000US06073006500"
2018,"2018",0,"Total",51250,6971,"Census Tract 66, San Diego County, CA","14000US06073006600"
2018,"2018",0,"Total",68693,5415,"Census Tract 68.01, San Diego County, CA","14000US06073006801"
2018,"2018",0,"Total",73065,6787.999999999999,"Census Tract 68.02, San Diego County, CA","14000US06073006802"
2018,"2018",0,"Total",107768,10498,"Census Tract 69, San Diego County, CA","14000US06073006900"
2018,"2018",0,"Total",128021,22820,"Census Tract 70.02, San Diego County, CA","14000US06073007002"
2018,"2018",0,"Total",116154,26751,"Census Tract 71, San Diego County, CA","14000US06073007100"
2018,"2018",0,"Total",129492,18532,"Census Tract 72, San Diego County, CA","14000US06073007200"
2018,"2018",0,"Total",81607,12379,"Census Tract 73.01, San Diego County, CA","14000US06073007301"
2018,"2018",0,"Total",127500,29873.000000000004,"Census Tract 73.02, San Diego County, CA","14000US06073007302"
2018,"2018",0,"Total",79423,9330,"Census Tract 74, San Diego County, CA","14000US06073007400"
2018,"2018",0,"Total",66325,4198,"Census Tract 75.01, San Diego County, CA","14000US06073007501"
2018,"2018",0,"Total",72768,16829,"Census Tract 75.02, San Diego County, CA","14000US06073007502"
2018,"2018",0,"Total",78560,20065,"Census Tract 76, San Diego County, CA","14000US06073007600"
2018,"2018",0,"Total",69590,5159,"Census Tract 77.01, San Diego County, CA","14000US06073007701"
2018,"2018",0,"Total",61985,14099.000000000002,"Census Tract 77.02, San Diego County, CA","14000US06073007702"
2018,"2018",0,"Total",71419,13233,"Census Tract 78, San Diego County, CA","14000US06073007800"
2018,"2018",0,"Total",59453,10672,"Census Tract 79.03, San Diego County, CA","14000US06073007903"
2018,"2018",0,"Total",84439,14054.999999999998,"Census Tract 79.05, San Diego County, CA","14000US06073007905"
2018,"2018",0,"Total",71364,8186.000000000001,"Census Tract 79.07, San Diego County, CA","14000US06073007907"
2018,"2018",0,"Total",65958,14483.999999999998,"Census Tract 79.08, San Diego County, CA","14000US06073007908"
2018,"2018",0,"Total",70074,10883,"Census Tract 79.10, San Diego County, CA","14000US06073007910"
2018,"2018",0,"Total",132054,30920.000000000004,"Census Tract 80.02, San Diego County, CA","14000US06073008002"
2018,"2018",0,"Total",107873,8728,"Census Tract 80.03, San Diego County, CA","14000US06073008003"
2018,"2018",0,"Total",94375,4128,"Census Tract 80.06, San Diego County, CA","14000US06073008006"
2018,"2018",0,"Total",84905,19393,"Census Tract 81.01, San Diego County, CA","14000US06073008101"
2018,"2018",0,"Total",128661,16686,"Census Tract 81.02, San Diego County, CA","14000US06073008102"
2018,"2018",0,"Total",83878,14134.000000000002,"Census Tract 82, San Diego County, CA","14000US06073008200"
2018,"2018",0,"Total",118750,30122.999999999996,"Census Tract 83.01, San Diego County, CA","14000US06073008301"
2018,"2018",0,"Total",158427,31026,"Census Tract 83.03, San Diego County, CA","14000US06073008303"
2018,"2018",0,"Total",39306,7039.999999999999,"Census Tract 83.05, San Diego County, CA","14000US06073008305"
2018,"2018",0,"Total",146813,18027,"Census Tract 83.06, San Diego County, CA","14000US06073008306"
2018,"2018",0,"Total",83611,17840,"Census Tract 83.07, San Diego County, CA","14000US06073008307"
2018,"2018",0,"Total",165395,47696,"Census Tract 83.10, San Diego County, CA","14000US06073008310"
2018,"2018",0,"Total",182188,36674,"Census Tract 83.11, San Diego County, CA","14000US06073008311"
2018,"2018",0,"Total",131023,19360,"Census Tract 83.12, San Diego County, CA","14000US06073008312"
2018,"2018",0,"Total",192083,39847,"Census Tract 83.13, San Diego County, CA","14000US06073008313"
2018,"2018",0,"Total",166383,14908,"Census Tract 83.24, San Diego County, CA","14000US06073008324"
2018,"2018",0,"Total",150536,21964,"Census Tract 83.27, San Diego County, CA","14000US06073008327"
2018,"2018",0,"Total",187989,41401,"Census Tract 83.28, San Diego County, CA","14000US06073008328"
2018,"2018",0,"Total",101717,10576,"Census Tract 83.29, San Diego County, CA","14000US06073008329"
2018,"2018",0,"Total",142333,28263,"Census Tract 83.30, San Diego County, CA","14000US06073008330"
2018,"2018",0,"Total",153690,24563,"Census Tract 83.31, San Diego County, CA","14000US06073008331"
2018,"2018",0,"Total",161411,18037,"Census Tract 83.33, San Diego County, CA","14000US06073008333"
2018,"2018",0,"Total",139265,21189,"Census Tract 83.35, San Diego County, CA","14000US06073008335"
2018,"2018",0,"Total",138214,20216,"Census Tract 83.36, San Diego County, CA","14000US06073008336"
2018,"2018",0,"Total",150806,11249,"Census Tract 83.37, San Diego County, CA","14000US06073008337"
2018,"2018",0,"Total",77039,20249,"Census Tract 83.39, San Diego County, CA","14000US06073008339"
2018,"2018",0,"Total",99318,19205,"Census Tract 83.40, San Diego County, CA","14000US06073008340"
2018,"2018",0,"Total",61437,11329,"Census Tract 83.41, San Diego County, CA","14000US06073008341"
2018,"2018",0,"Total",61112,3323,"Census Tract 83.43, San Diego County, CA","14000US06073008343"
2018,"2018",0,"Total",107917,5121,"Census Tract 83.44, San Diego County, CA","14000US06073008344"
2018,"2018",0,"Total",81250,11329,"Census Tract 83.45, San Diego County, CA","14000US06073008345"
2018,"2018",0,"Total",149327,19884,"Census Tract 83.46, San Diego County, CA","14000US06073008346"
2018,"2018",0,"Total",112368,14869,"Census Tract 83.47, San Diego County, CA","14000US06073008347"
2018,"2018",0,"Total",111010,18375,"Census Tract 83.48, San Diego County, CA","14000US06073008348"
2018,"2018",0,"Total",104792,21340,"Census Tract 83.49, San Diego County, CA","14000US06073008349"
2018,"2018",0,"Total",103459,16188.000000000002,"Census Tract 83.50, San Diego County, CA","14000US06073008350"
2018,"2018",0,"Total",82241,15743,"Census Tract 83.51, San Diego County, CA","14000US06073008351"
2018,"2018",0,"Total",92355,16800,"Census Tract 83.52, San Diego County, CA","14000US06073008352"
2018,"2018",0,"Total",99010,12593,"Census Tract 83.53, San Diego County, CA","14000US06073008353"
2018,"2018",0,"Total",110455,15948.000000000002,"Census Tract 83.54, San Diego County, CA","14000US06073008354"
2018,"2018",0,"Total",98809,6214,"Census Tract 83.55, San Diego County, CA","14000US06073008355"
2018,"2018",0,"Total",98304,8417,"Census Tract 83.56, San Diego County, CA","14000US06073008356"
2018,"2018",0,"Total",89401,8897,"Census Tract 83.57, San Diego County, CA","14000US06073008357"
2018,"2018",0,"Total",94237,11988,"Census Tract 83.58, San Diego County, CA","14000US06073008358"
2018,"2018",0,"Total",58818,5276,"Census Tract 83.59, San Diego County, CA","14000US06073008359"
2018,"2018",0,"Total",81250,9344,"Census Tract 83.60, San Diego County, CA","14000US06073008360"
2018,"2018",0,"Total",65865,17663,"Census Tract 83.61, San Diego County, CA","14000US06073008361"
2018,"2018",0,"Total",82623,12965,"Census Tract 83.62, San Diego County, CA","14000US06073008362"
2018,"2018",0,"Total",62295,11754,"Census Tract 83.63, San Diego County, CA","14000US06073008363"
2018,"2018",0,"Total",72669,12553,"Census Tract 83.64, San Diego County, CA","14000US06073008364"
2018,"2018",0,"Total",158750,15941,"Census Tract 83.65, San Diego County, CA","14000US06073008365"
2018,"2018",0,"Total",163274,8933,"Census Tract 83.66, San Diego County, CA","14000US06073008366"
2018,"2018",0,"Total",94811,18722,"Census Tract 85.01, San Diego County, CA","14000US06073008501"
2018,"2018",0,"Total",77786,8414,"Census Tract 85.02, San Diego County, CA","14000US06073008502"
2018,"2018",0,"Total",73911,7853,"Census Tract 85.03, San Diego County, CA","14000US06073008503"
2018,"2018",0,"Total",77791,12372,"Census Tract 85.04, San Diego County, CA","14000US06073008504"
2018,"2018",0,"Total",63625,14450,"Census Tract 85.05, San Diego County, CA","14000US06073008505"
2018,"2018",0,"Total",77417,9665,"Census Tract 85.06, San Diego County, CA","14000US06073008506"
2018,"2018",0,"Total",81354,10212,"Census Tract 85.07, San Diego County, CA","14000US06073008507"
2018,"2018",0,"Total",77091,15430.999999999998,"Census Tract 85.09, San Diego County, CA","14000US06073008509"
2018,"2018",0,"Total",62537,10630,"Census Tract 85.10, San Diego County, CA","14000US06073008510"
2018,"2018",0,"Total",81431,5564,"Census Tract 85.11, San Diego County, CA","14000US06073008511"
2018,"2018",0,"Total",93152,8273,"Census Tract 85.12, San Diego County, CA","14000US06073008512"
2018,"2018",0,"Total",107107,18996,"Census Tract 85.13, San Diego County, CA","14000US06073008513"
2018,"2018",0,"Total",47756,5988,"Census Tract 86, San Diego County, CA","14000US06073008600"
2018,"2018",0,"Total",71964,20075,"Census Tract 87.01, San Diego County, CA","14000US06073008701"
2018,"2018",0,"Total",78125,14027,"Census Tract 87.02, San Diego County, CA","14000US06073008702"
2018,"2018",0,"Total",54215,9100,"Census Tract 88, San Diego County, CA","14000US06073008800"
2018,"2018",0,"Total",74109,10146,"Census Tract 89.01, San Diego County, CA","14000US06073008901"
2018,"2018",0,"Total",69167,15138,"Census Tract 89.02, San Diego County, CA","14000US06073008902"
2018,"2018",0,"Total",63006,15310.999999999998,"Census Tract 90, San Diego County, CA","14000US06073009000"
2018,"2018",0,"Total",113016,12830,"Census Tract 91.01, San Diego County, CA","14000US06073009101"
2018,"2018",0,"Total",41683,9484,"Census Tract 91.02, San Diego County, CA","14000US06073009102"
