latitude,longitude,year,month,day,DATE,ListID,list_name,N.cleanupAttempts,total_plastic,total_plasticbags,totalFishingLine,total_takeout
32.8273,-117.2483,2014,10,27,10/27/14,22,NOAA Marine Debris,1,2,2,0,0
32.827,-117.2468,2014,10,30,10/30/14,22,NOAA Marine Debris,1,1,1,0,0
32.8261,-117.2479,2014,10,30,10/30/14,22,NOAA Marine Debris,1,1,1,0,0
32.8273,-117.2483,2014,10,31,10/31/14,22,NOAA Marine Debris,2,2,1,0,1
32.8298,-117.2492,2014,11,13,11/13/14,22,NOAA Marine Debris,1,1,1,0,0
32.8301,-117.2492,2014,12,5,12/5/14,22,NOAA Marine Debris,2,6,1,0,0
32.7955,-117.2563,2014,12,10,12/10/14,22,NOAA Marine Debris,1,3,3,0,0
32.8043,-117.261,2014,12,15,12/15/14,22,NOAA Marine Debris,3,5,3,0,2
32.7965,-117.2519,2014,12,18,12/18/14,22,NOAA Marine Debris,3,8,2,0,1
32.8294,-117.2491,2014,12,23,12/23/14,22,NOAA Marine Debris,2,2,1,0,0
32.7956,-117.2564,2015,1,8,1/8/15,22,NOAA Marine Debris,5,19,2,0,7
32.828,-117.2485,2015,1,19,1/19/15,22,NOAA Marine Debris,1,1,1,0,0
32.798,-117.2521,2015,1,26,1/26/15,22,NOAA Marine Debris,4,7,1,0,6
32.7964,-117.2525,2015,2,9,2/9/15,22,NOAA Marine Debris,2,3,3,0,0
32.7825,-117.2487,2015,2,13,2/13/15,22,NOAA Marine Debris,6,8,1,0,1
32.7827,-117.2506,2015,5,23,5/23/15,22,NOAA Marine Debris,4,14,4,0,6
32.899,-117.2045,2015,5,23,5/23/15,22,NOAA Marine Debris,1,5,1,0,1
32.7283,-114.6157,2015,5,23,5/23/15,22,NOAA Marine Debris,1,4,2,0,2
32.7308,-114.6167,2015,5,23,5/23/15,22,NOAA Marine Debris,1,9,1,0,2
32.7721,-117.2437,2015,6,4,6/4/15,22,NOAA Marine Debris,1,5,1,0,4
32.8318,-117.2494,2015,6,11,6/11/15,22,NOAA Marine Debris,4,4,1,0,1
32.8316,-117.2494,2015,6,11,6/11/15,22,NOAA Marine Debris,2,2,1,0,1
32.851,-117.2532,2015,6,16,6/16/15,22,NOAA Marine Debris,1,9,5,0,2
32.796,-117.2531,2015,7,8,7/8/15,22,NOAA Marine Debris,1,2,2,0,0
32.7828,-117.25,2015,7,16,7/16/15,22,NOAA Marine Debris,1,1,1,0,0
32.8134,-117.2716,2015,7,23,7/23/15,22,NOAA Marine Debris,4,4,1,0,3
32.8259,-117.2486,2015,8,4,8/4/15,22,NOAA Marine Debris,1,1,1,0,0
32.8299,-117.2491,2015,9,22,9/22/15,22,NOAA Marine Debris,4,4,1,0,1
32.8288,-117.2486,2015,10,9,10/9/15,22,NOAA Marine Debris,1,1,1,0,0
32.7494,-117.2522,2016,1,24,1/24/16,22,NOAA Marine Debris,1,14,1,0,9
32.9002,-117.1875,2016,12,20,12/20/16,22,NOAA Marine Debris,1,12,2,0,0
32.9583,-117.1909,2017,10,10,10/10/17,22,NOAA Marine Debris,1,282,1,0,7
32.771,-117.208,2018,1,22,1/22/18,22,NOAA Marine Debris,3,3,1,0,2
32.771,-117.2079,2018,1,22,1/22/18,22,NOAA Marine Debris,4,8,1,0,7
32.7711,-117.2079,2018,1,22,1/22/18,22,NOAA Marine Debris,1,1,1,0,0
32.7709,-117.2087,2018,1,22,1/22/18,22,NOAA Marine Debris,4,4,1,0,3
32.7707,-117.209,2018,1,22,1/22/18,22,NOAA Marine Debris,5,7,2,0,4
32.7707,-117.209,2018,1,23,1/23/18,22,NOAA Marine Debris,1,1,1,0,0
32.7709,-117.2094,2018,1,23,1/23/18,22,NOAA Marine Debris,4,5,1,0,4
32.7712,-117.2096,2018,1,23,1/23/18,22,NOAA Marine Debris,4,4,1,0,2
32.772,-117.21,2018,1,23,1/23/18,22,NOAA Marine Debris,1,1,1,0,0
32.7725,-117.2098,2018,1,23,1/23/18,22,NOAA Marine Debris,6,7,4,0,3
32.7722,-117.2098,2018,1,23,1/23/18,22,NOAA Marine Debris,2,2,1,0,1
32.7487,-117.1667,2018,1,23,1/23/18,22,NOAA Marine Debris,2,2,1,0,1
32.7494,-117.1667,2018,1,23,1/23/18,22,NOAA Marine Debris,4,4,2,0,0
32.771,-117.2082,2018,2,6,2/6/18,22,NOAA Marine Debris,1,1,1,0,0
32.7707,-117.2088,2018,2,6,2/6/18,22,NOAA Marine Debris,2,2,1,0,1
32.7709,-117.2094,2018,2,6,2/6/18,22,NOAA Marine Debris,3,5,1,0,4
32.7534,-117.2529,2018,3,15,3/15/18,22,NOAA Marine Debris,1,1,1,0,0
32.7524,-117.2528,2018,3,15,3/15/18,22,NOAA Marine Debris,2,2,1,0,1
32.749,-117.2531,2018,3,21,3/21/18,22,NOAA Marine Debris,1,1,1,0,0
32.8293,-117.2491,2018,5,23,5/23/18,22,NOAA Marine Debris,2,2,1,0,0
32.7488,-117.1675,2018,7,30,7/30/18,22,NOAA Marine Debris,1,1,1,0,0
32.7495,-117.1669,2018,7,31,7/31/18,22,NOAA Marine Debris,2,2,1,0,1
32.7496,-117.1662,2018,8,13,8/13/18,22,NOAA Marine Debris,1,1,1,0,0
32.8299,-117.2492,2018,8,23,8/23/18,22,NOAA Marine Debris,1,1,1,0,0
32.8306,-117.2493,2018,8,23,8/23/18,22,NOAA Marine Debris,2,2,1,0,0
32.7496,-117.1672,2018,9,5,9/5/18,22,NOAA Marine Debris,1,1,1,0,0
32.8305,-117.2492,2018,9,7,9/7/18,22,NOAA Marine Debris,3,3,1,0,1
32.7678,-117.2117,2018,9,10,9/10/18,22,NOAA Marine Debris,2,2,1,0,1
32.6902,-117.117,2018,9,15,9/15/18,22,NOAA Marine Debris,8,21,2,0,14
32.6909,-117.1171,2018,9,15,9/15/18,22,NOAA Marine Debris,9,25,3,0,15
32.691,-117.1178,2018,9,15,9/15/18,22,NOAA Marine Debris,1,12,4,0,3
32.692,-117.1192,2018,9,15,9/15/18,22,NOAA Marine Debris,8,22,5,0,7
32.8298,-117.2492,2018,9,20,9/20/18,22,NOAA Marine Debris,1,1,1,0,0
32.8141,-117.1769,2018,9,20,9/20/18,22,NOAA Marine Debris,2,2,1,0,1
32.7099,-117.1545,2018,10,4,10/4/18,22,NOAA Marine Debris,1,7,1,0,6
32.7487,-117.1668,2018,10,10,10/10/18,22,NOAA Marine Debris,1,1,1,0,0
32.7968,-117.2142,2018,11,3,11/3/18,22,NOAA Marine Debris,1,1,1,0,0
32.6958,-117.1522,2018,11,20,11/20/18,22,NOAA Marine Debris,1,4,2,0,0
32.7494,-117.1667,2018,11,28,11/28/18,22,NOAA Marine Debris,4,5,1,0,0
32.8294,-117.2491,2018,11,28,11/28/18,22,NOAA Marine Debris,4,5,2,0,3
32.8296,-117.2492,2018,11,28,11/28/18,22,NOAA Marine Debris,2,2,1,0,1
32.749,-117.167,2018,12,5,12/5/18,22,NOAA Marine Debris,3,3,2,0,1
32.7487,-117.1667,2018,12,12,12/12/18,22,NOAA Marine Debris,4,4,1,0,3
32.7486,-117.1668,2019,1,23,1/23/19,22,NOAA Marine Debris,2,2,1,0,1
32.7693,-117.2453,2019,1,29,1/29/19,22,NOAA Marine Debris,8,117,10,0,74
32.7483,-117.1675,2019,3,27,3/27/19,22,NOAA Marine Debris,3,3,1,0,2
32.7181,-117.157,2019,5,15,5/15/19,22,NOAA Marine Debris,1,1,1,0,0
32.7276,-117.1802,2019,5,16,5/16/19,22,NOAA Marine Debris,1,1,1,0,0
32.7275,-117.1803,2019,5,16,5/16/19,22,NOAA Marine Debris,1,1,1,0,0
32.7485,-117.1675,2019,5,24,5/24/19,22,NOAA Marine Debris,1,1,1,0,0
32.7181,-117.157,2019,6,5,6/5/19,22,NOAA Marine Debris,1,1,1,0,0
32.7487,-117.1666,2019,6,28,6/28/19,22,NOAA Marine Debris,1,1,1,0,0
32.7667,-117.2505,2019,6,28,6/28/19,22,NOAA Marine Debris,1,1,1,0,0
32.7669,-117.2409,2019,6,28,6/28/19,22,NOAA Marine Debris,1,2,1,0,0
32.7689,-117.2501,2019,6,28,6/28/19,22,NOAA Marine Debris,1,1,1,0,0
32.7714,-117.2498,2019,6,28,6/28/19,22,NOAA Marine Debris,1,6,3,0,3
32.7705,-117.2449,2019,6,28,6/28/19,22,NOAA Marine Debris,7,18,3,0,14
32.7709,-117.2432,2019,6,28,6/28/19,22,NOAA Marine Debris,1,19,3,0,12
32.7707,-117.243,2019,6,28,6/28/19,22,NOAA Marine Debris,4,76,15,0,26
32.8298,-117.2491,2019,7,8,7/8/19,22,NOAA Marine Debris,4,5,1,0,4
32.8297,-117.249,2019,7,19,7/19/19,22,NOAA Marine Debris,1,1,1,0,0
32.7488,-117.1667,2019,7,24,7/24/19,22,NOAA Marine Debris,1,1,1,0,0
32.8291,-117.2489,2019,8,6,8/6/19,22,NOAA Marine Debris,5,5,1,0,2
32.7489,-117.1673,2019,10,11,10/11/19,22,NOAA Marine Debris,2,2,1,0,1
32.7483,-117.2532,2019,11,25,11/25/19,22,NOAA Marine Debris,1,1,1,0,0
32.7485,-117.1675,2019,11,18,11/18/19,22,NOAA Marine Debris,6,10,1,0,8
32.9411,-115.1408,2019,12,1,12/1/19,22,NOAA Marine Debris,40,48,8,0,35
32.7486,-117.1663,2019,12,13,12/13/19,22,NOAA Marine Debris,4,4,3,0,1
32.7487,-117.1658,2019,12,13,12/13/19,22,NOAA Marine Debris,1,1,1,0,0
32.7486,-117.1658,2019,12,13,12/13/19,22,NOAA Marine Debris,2,2,1,0,0
32.7489,-117.1661,2019,12,13,12/13/19,22,NOAA Marine Debris,1,1,1,0,0
32.7486,-117.1672,2019,12,13,12/13/19,22,NOAA Marine Debris,9,9,2,0,7
32.7483,-117.1675,2019,12,13,12/13/19,22,NOAA Marine Debris,7,8,1,0,6
32.7485,-117.1675,2019,12,13,12/13/19,22,NOAA Marine Debris,1,1,1,0,0
32.8307,-117.2492,2019,12,13,12/13/19,22,NOAA Marine Debris,3,4,1,0,0
32.8326,-117.2498,2019,12,13,12/13/19,22,NOAA Marine Debris,3,3,1,0,0
32.7604,-117.2509,2019,12,15,12/15/19,22,NOAA Marine Debris,6,17,2,0,10
32.7618,-117.2504,2019,12,15,12/15/19,22,NOAA Marine Debris,13,92,1,0,76
32.7645,-117.2504,2020,1,10,1/10/20,22,NOAA Marine Debris,21,83,9,0,55
