Cleanup.ID,Zone,State,Country,Latitude,Longitude,Cleanup.Date,Group.Name,Adults,Children,People,Kilograms,Kilometers,N.bags,Cigarette.Butts,Food.Wrappers.candy.chips.etc.,Take.Out.Away.Containers.Plastic.,Take.Out.Away.Containers.Foam.,Bottle.Caps.Plastic.,Bottle.Caps.Metal.,Lids.Plastic.,Straws.Stirrers,Forks.Knives.Spoons,Beverage.Bottles.Plastic.,Beverage.Bottles.Glass.,Beverage.Cans,Grocery.Bags.Plastic.,Other.Plastic.Bags,Paper.Bags,Cups.Plates.Paper.,Cups.Plates.Plastic.,Cups.Plates.Foam.,Fishing.Buoys.Pots.Traps,Fishing.Net.Pieces,Fishing.Line.1.yard.meter.1.piece.,Rope.1.yard.meter.1.piece.,Fishing.Gear.Clean.Swell.,X6.Pack.Holders,Other.Plastic.Foam.Packaging,Other.Plastic.Bottles.oil.bleach.etc.,Strapping.Bands,Tobacco.Packaging.Wrap,Other.Packaging.Clean.Swell.,Beverages.Sachets,Appliances.refrigerators.washers.etc.,Balloons,Cigar.Tips,Cigarette.Lighters,Construction.Materials,Fireworks,Tires,Toys,Other.Trash.Clean.Swell.,E.cigarettes,Other.tobacco.packaging.lighter.etc.,Condoms,Diapers,Syringes,Tampons.Tampon.Applicators,Personal.Hygiene.Clean.Swell.,Gloves.Masks.PPE.,Foam.Pieces,Glass.Pieces,Plastic.Pieces,Total.Items.Collected,NewPlasticTotal,TotalFishing,totaltakeout,TotalSmoke,PlasticBags,year,month,day,DATE,distanceM,StdEffort,stdzdTotalPlastic,stdzdfish,stdzdtakeout,stdzdsmoke,stdzdbags
1101,"San Diego County, CA, USA","California, USA",United States,32.76146,-117.25047,10/16/15,,1,0,1,4.55,0.08,0,19,43,2,2,12,0,7,5,3,9,1,0,1,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,84,218,115,5,84,19,1,2015,10,16,2015-10-16,80,80,1.4375,0.0625,1.05,0.2375,0.0125
1102,"San Diego County, CA, USA","California, USA",United States,32.76559,-117.25246,10/20/15,,1,0,1,13.21,3.66,0,19,29,0,1,11,0,3,4,2,2,1,5,1,0,0,3,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,3,0,0,0,0,0,11,101,0,0,0,0,0,0,8,0,0,0,104,324,110,15,53,19,1,2015,10,20,2015-10-20,3660,3660,0.03005464481,0.004098360656,0.01448087432,0.005191256831,0.0002732240437
1105,"San Diego County, CA, USA","California, USA",United States,32.76785,-117.25265,10/17/15,,1,0,1,6.99,0.7,0,13,24,4,4,10,0,3,5,3,14,4,3,2,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,1,0,0,0,0,0,5,45,0,0,0,0,0,0,1,0,0,0,36,198,99,4,69,13,2,2015,10,17,2015-10-17,700,700,0.1414285714,0.005714285714,0.09857142857,0.01857142857,0.002857142857
1114,"San Diego County, CA, USA","California, USA",United States,32.76255,-117.25223,10/22/15,,1,0,1,2.47,3.57,0,1,15,0,0,3,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,47,103,40,4,24,1,1,2015,10,22,2015-10-22,3570,3570,0.01120448179,0.001120448179,0.006722689076,0.0002801120448,0.0002801120448
1126,"San Diego County, CA, USA","California, USA",United States,32.76244,-117.25228,10/27/15,,1,0,1,21.37,2.71,0,54,27,0,2,95,0,3,19,3,2,0,5,2,0,0,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,24,175,0,0,0,0,0,0,9,0,0,0,196,642,263,18,153,54,2,2015,10,27,2015-10-27,2710,2710,0.09704797048,0.006642066421,0.05645756458,0.01992619926,0.0007380073801
1128,"San Diego County, CA, USA","California, USA",United States,32.76238,-117.25257,10/28/15,,1,0,1,7.4,1.59,0,40,15,0,0,21,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,78,0,0,0,0,0,0,3,0,0,0,176,351,95,6,42,40,0,2015,10,28,2015-10-28,1590,1590,0.05974842767,0.003773584906,0.02641509434,0.0251572327,0
1129,"San Diego County, CA, USA","California, USA",United States,32.7611,-117.25191,11/2/15,,1,0,1,9.92,4.22,0,10,46,2,2,9,0,2,4,4,13,2,7,4,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,5,0,0,0,0,0,15,59,0,0,0,0,0,0,4,0,0,0,32,238,127,5,86,10,4,2015,11,2,2015-11-02,4220,4220,0.03009478673,0.001184834123,0.02037914692,0.002369668246,0.0009478672986
1135,"San Diego County, CA, USA","California, USA",United States,32.76238,-117.25257,10/28/15,,1,0,1,7.4,1.59,0,40,15,0,0,21,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,78,0,0,0,0,0,0,3,0,0,0,176,351,95,6,42,40,0,2015,10,28,2015-10-28,1590,1590,0.05974842767,0.003773584906,0.02641509434,0.0251572327,0
1146,"San Diego County, CA, USA","California, USA",United States,32.76169,-117.25051,11/1/15,,1,0,1,11.92,5.11,0,6,74,4,3,29,0,4,8,5,11,3,25,5,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16,85,0,0,0,0,0,0,4,0,0,0,28,331,177,3,143,6,5,2015,11,1,2015-11-01,5110,5110,0.03463796477,0.0005870841487,0.02798434442,0.001174168297,0.0009784735812
1150,"San Diego County, CA, USA","California, USA",United States,32.76169,-117.25051,11/1/15,,1,0,1,11.92,5.11,0,6,74,4,3,29,0,4,8,5,11,3,25,5,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16,85,0,0,0,0,0,0,4,0,0,0,28,331,177,3,143,6,5,2015,11,1,2015-11-01,5110,5110,0.03463796477,0.0005870841487,0.02798434442,0.001174168297,0.0009784735812
