latitude,longitude,year,N.cleanupAttempts,total_plastic,total_plasticbags,totalFishingLine,total_takeout,total_smoke
32.6329,-117.1399,2019,3,4,0,0,4,0
32.6681,-117.244,2018,1,1,0,0,1,0
32.6698,-117.2454,2018,2,2,0,0,2,0
32.67,-117.245,2018,2,2,0,0,2,0
32.6802,-117.0569,2017,1,1,0,0,0,1
32.6902,-117.117,2018,8,21,2,0,14,4
32.6902,-117.1169,2018,1,1,0,0,0,0
32.6903,-117.117,2018,1,4,0,0,0,4
32.6909,-117.1171,2018,9,25,3,0,15,7
32.691,-117.1178,2018,1,12,4,0,3,3
32.692,-117.1192,2018,8,22,5,0,7,9
32.692,-117.1191,2018,2,5,0,0,2,0
32.6955,-117.1534,2018,1,1,0,0,1,0
32.6956,-117.1535,2018,1,1,0,0,1,0
32.6958,-117.1532,2018,1,2,0,0,2,0
32.6958,-117.1522,2018,1,4,2,0,0,2
32.6959,-117.1536,2018,1,1,0,0,1,0
32.696,-117.152,2018,1,2,0,0,2,0
32.696,-117.1519,2018,1,1,0,0,1,0
32.6962,-117.1515,2018,2,2,0,0,2,0
32.6962,-117.1514,2018,2,2,0,0,2,0
32.6963,-117.1514,2018,1,3,0,0,2,0
32.6967,-117.1511,2018,1,2,0,0,2,0
32.7017,-114.6105,2015,1,1,0,0,1,0
32.7048,-117.2,2015,1,9,0,0,0,9
32.7099,-117.1545,2018,1,7,1,0,6,0
32.7104,-117.154,2018,2,3,0,0,3,0
32.718,-117.2337,2020,1,15,0,0,0,15
32.7181,-117.2336,2020,1,1,0,0,0,1
32.7181,-117.157,2019,2,2,2,0,0,0
32.7182,-117.2334,2020,1,1,0,0,1,0
32.7184,-117.233,2020,1,1,0,0,0,0
32.7186,-117.2326,2020,1,1,0,0,1,0
32.7187,-117.2323,2020,1,1,0,0,1,0
32.7188,-117.2248,2020,2,22,0,0,22,0
32.719,-117.2251,2020,2,3,0,0,3,0
32.7191,-117.2252,2020,2,2,0,0,0,2
32.7192,-117.2307,2020,3,3,0,0,0,3
32.7193,-117.2256,2020,1,1,0,0,0,0
32.7194,-117.2302,2020,2,3,0,0,0,3
32.7194,-117.2286,2020,5,11,0,0,9,2
32.7195,-117.2287,2020,2,7,0,0,7,0
32.7195,-117.2286,2020,1,1,0,0,0,1
32.7195,-117.2285,2020,5,14,0,0,14,0
32.7195,-117.2284,2020,3,8,0,0,5,3
32.7195,-117.2259,2020,3,7,0,0,5,2
32.7196,-117.2564,2020,1,7,0,0,2,4
32.7196,-117.2297,2020,2,4,0,0,1,3
32.7196,-117.2288,2020,2,2,2,0,0,0
32.7196,-117.2284,2020,6,8,0,0,4,3
32.7196,-117.2283,2020,5,8,0,0,8,0
32.7197,-117.2567,2020,3,113,2,0,70,41
32.7197,-117.229,2020,3,3,3,0,0,0
32.7197,-117.2283,2020,2,12,0,0,11,1
32.7197,-117.2261,2020,4,5,0,0,5,0
32.7198,-117.2295,2020,2,3,0,0,3,0
32.7198,-117.2292,2020,1,2,0,0,2,0
32.7198,-117.2291,2020,2,3,0,0,3,0
32.7198,-117.2282,2020,6,13,0,0,13,0
32.7199,-117.2281,2020,3,4,0,0,4,0
32.72,-117.2281,2020,1,1,0,0,0,1
32.72,-117.2267,2020,2,2,0,0,2,0
32.7202,-117.2273,2020,1,1,0,0,0,1
32.7202,-117.2272,2020,1,2,0,0,2,0
32.7219,-117.2311,2020,2,58,5,0,48,5
32.7221,-117.2234,2020,1,1,0,0,0,0
32.7222,-117.2234,2020,7,8,2,0,5,1
32.7224,-117.2304,2020,2,15,0,0,15,0
32.7224,-117.2303,2020,1,6,0,0,2,4
32.7224,-117.2232,2020,1,1,0,0,0,1
32.7225,-117.223,2020,1,1,0,0,1,0
32.7256,-117.2576,2015,1,1,0,0,0,1
32.7275,-117.1803,2019,1,1,1,0,0,0
32.7276,-117.1808,2019,1,1,0,0,1,0
32.7276,-117.1807,2019,1,2,0,0,2,0
32.7276,-117.1802,2019,1,1,1,0,0,0
32.7279,-117.1343,2019,1,1,0,0,1,0
32.728,-117.1354,2019,5,5,0,0,5,0
32.728,-117.1343,2019,2,3,0,0,3,0
32.7281,-114.6141,2015,1,3,0,0,2,1
32.7283,-114.6157,2015,1,4,2,0,2,0
