Latitude,Longitude,year,T.Plastic,T.Takeout,T.Smoke,T.Fishing,T.bags,T.Dist.M,T.Adults,T.People,T.Kg,N.cleanupAttempts,T.StdEffort,stdzdTotalPlastic,stdzdtakeout,stdzdsmoke,stdzdBags,stdzdFish
32.5343,-117.1237,2017,26267,12705,11637,294,772,5001,1033,1033,9361.5,1,5167066,0.005083542575,0.002458842213,0.002252148511,0.0001494078071,5.69E-05
32.5356,-117.1245,2016,4416,3907,199,44,218,1611,20,112,295.29,1,180544,0.02445941156,0.0216401542,0.001102224389,0.001207461893,0.000243707905
32.5358,-117.1222,2017,602,373,220,0,7,1611,100,100,134.26,1,161200,0.003734491315,0.002313895782,0.001364764268,4.34E-05,0
32.5365,-117.1229,2019,84,44,24,5,4,41,1,1,3.64,1,42,2,1.047619048,0.5714285714,0.09523809524,0.119047619
32.5367,-117.1237,2019,43,37,0,1,4,341,3,3,1.94,1,1026,0.04191033138,0.03606237817,0,0.003898635478,0.0009746588694
32.5401,-117.1241,2019,210,182,0,2,6,2,6,6,8.58,2,18,11.66666667,10.11111111,0,0.3333333333,0.1111111111
32.5483,-117.0519,2019,44,14,30,0,0,21,1,1,0.3,1,22,2,0.6363636364,1.363636364,0,0
32.5557,-117.0841,2017,127,63,47,0,10,8051,85,85,108.86,1,684420,0.0001855585751,9.20E-05,6.87E-05,1.46E-05,0
32.5569,-117.0672,2020,377,277,100,0,13,4831,3,3,27.22,1,14496,0.02600717439,0.01910871965,0.006898454746,0.000896799117,0
32.557,-117.0581,2017,1,0,1,0,0,3221,20,120,90.72,1,386640,2.59E-06,0,2.59E-06,0,0
32.5581,-117.0376,2016,304,120,150,0,10,401,2,6,226.8,1,2412,0.1260364842,0.04975124378,0.06218905473,0.004145936982,0
32.5659,-117.1326,2020,67,50,8,3,7,161,2,2,3.06,1,324,0.2067901235,0.1543209877,0.02469135802,0.02160493827,0.009259259259
32.5666,-117.1324,2020,163,98,13,7,9,1101,2,2,7.57,1,2204,0.07395644283,0.0444646098,0.005898366606,0.004083484574,0.003176043557
32.5668,-117.1332,2020,219,114,101,2,4,4831,10,13,11.48,1,62816,0.003486372899,0.001814824249,0.001607870606,6.37E-05,3.18E-05
32.5675,-117.1323,2020,49,24,18,2,4,1621,2,2,3.48,1,3244,0.01510480888,0.007398273736,0.005548705302,0.001233045623,0.0006165228113
32.5771,-117.0935,2020,0,0,0,0,0,5631,2,4,9.07,1,22528,0,0,0,0,0
