"event_title","event_id","event_subtitle","event_type","event_desc","event_loc","date_event_start","date_event_end","exp_attendance","exp_participants","event_host","event_url","address_full","lat","lng"
"North Park Thursday Market","53829","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-12-30 15:00:00","2021-12-30 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53572","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-12-29 16:00:00","2021-12-29 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53777","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-12-28 14:00:00","2021-12-28 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53726","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-12-26 09:00:00","2021-12-26 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53624","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-12-25 09:00:00","2021-12-25 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"North Park Thursday Market","53828","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-12-23 15:00:00","2021-12-23 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53571","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-12-22 16:00:00","2021-12-22 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53776","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-12-21 14:00:00","2021-12-21 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53725","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-12-19 09:00:00","2021-12-19 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53623","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-12-18 09:00:00","2021-12-18 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
